r,time
1,0.0009036000000000001
6,0.0008268000000000001
11,0.0009623999999999999
16,0.0010956
21,0.0012466
26,0.0013650000000000001
31,0.0012674000000000001
36,0.0015354
41,0.0018218000000000002
46,0.0020134000000000003
51,0.0020364
56,0.0023001999999999996
61,0.0027452000000000006
66,0.0031406000000000003
71,0.0033244000000000004
76,0.0036790000000000004
81,0.0041534
86,0.004659000000000001
91,0.004738399999999999
96,0.005257
101,0.005706000000000001
106,0.006484800000000001
111,0.0067206
116,0.0072114
121,0.0079262
126,0.008518799999999998
131,0.0090394
136,0.009914599999999999
141,0.0103536
146,0.011061199999999998
151,0.0116476
156,0.0123712
161,0.013117400000000001
166,0.014366
171,0.015041200000000001
176,0.015170600000000001
181,0.0166464
186,0.017914000000000003
191,0.0184484
196,0.0191332
