r,time
1,3.217758620689655e-7
6,3.10975e-6
11,6.5464e-6
16,1.1473e-5
21,1.7337e-5
26,2.333e-5
31,3.0615e-5
36,3.8561e-5
41,4.7338e-5
46,5.8441e-5
51,6.932e-5
56,7.8896e-5
61,9.2757e-5
66,0.000103236
71,0.000116447
76,0.000134718
81,0.000146766
86,0.000161769
91,0.000178362
96,0.000195702
101,0.000213954
106,0.000233824
111,0.000253181
116,0.000274662
121,0.000294582
126,0.00031761
131,0.000340743
136,0.000364963
141,0.000389271
146,0.000414547
151,0.000439853
156,0.000466985
161,0.000495394
166,0.000523107
171,0.00055188
176,0.000582163
181,0.000612404
186,0.000644339
191,0.00067688
196,0.000709993
