r,time
1,3.22008658008658e-7
6,3.102625e-6
11,6.7428e-6
16,1.1503e-5
21,1.7557e-5
26,2.3549e-5
31,3.1693e-5
36,3.8977e-5
41,4.9002e-5
46,5.899e-5
51,6.8405e-5
56,8.1827e-5
61,9.1551e-5
66,0.000107212
71,0.000118025
76,0.000133115
81,0.000148704
86,0.000164128
91,0.000186
96,0.000204165
101,0.000217669
106,0.00023861
111,0.000257658
116,0.000279476
121,0.000299676
126,0.000322451
131,0.000346135
136,0.000370763
141,0.000395714
146,0.000421439
151,0.000447241
156,0.00047464
161,0.000503805
166,0.000532603
171,0.000561718
176,0.000591881
181,0.000623652
186,0.000656212
191,0.000689254
196,0.000722288
